,0
719,258.1119656941604
720,138.61989580615023
721,47.249050599042135
722,223.67399877407559
723,28.181406721683548
724,227.87406073335865
725,236.96018882314016
726,217.76427201246395
727,233.31088880664979
728,-191.5687358742447
729,-126.20469944133603
730,243.3297404420513
731,3.4438516281110907
732,249.06450574628963
733,202.41415501227942
734,259.56152926852087
735,17.19232045074537
736,209.4976642017997
737,221.89530256865626
738,250.54471867788544
739,222.43974901474934
740,249.24574679850645
741,-42.62354860663043
742,196.71752999036016
743,254.42148776005934
744,-114.32228498721194
745,159.039069606177
746,249.1035945598292
747,253.3019399307156
748,-186.1185831844275
749,-111.20874642062792
750,228.80049751918634
751,-0.8355673946324913
752,165.9902288294969
753,-245.71078094719655
754,-11.398533185050443
755,-139.07105309432563
756,234.93432373983418
757,199.64418651642234
758,-126.24540370417549
759,192.12036460988958
760,244.59654855849894
761,233.86726400681545
762,43.49325889182356
763,257.68522644839777
764,-46.947172873162195
765,216.5521625792879
766,-222.27015468248445
767,268.22508618870233
768,271.81119171928583
769,138.36057260889768
770,239.90484850187215
771,-103.6900798436636
772,283.7232030125066
773,252.68973746085138
774,259.35183593419265
775,230.82430071423698
776,266.7578148589388
777,10.478442571007804
778,269.9890123767175
779,208.8390495400734
780,55.04301946289746
781,237.71108300990008
782,-99.35221734396639
783,65.86593211940809
784,256.57112892906537
785,282.3966834345521
786,31.964539239268447
787,283.22135739309306
788,254.37282581997533
789,27.027343375326836
790,244.348727376025
791,181.58310486152953
792,-320.4558079643383
793,-160.21782907890315
794,283.03157969942987
795,-237.60679220885666
796,18.927026322778303
797,33.36948990717562
798,-31.317491321317263
799,41.94672355318016
800,-5.427180856039058
801,282.2365452296773
802,-36.42465106815628
803,246.80291324749547
804,20.438058154468322
805,21.368655809868727
806,-70.93905915249191
807,-98.13084390174372
808,-5.069793218611522
809,14.6447515839875
810,-138.8307312809771
811,-170.7664760803442
812,-76.36309485550186
813,46.936228516122384
814,-18.326639937792265
815,183.61959636607793
816,15.35068318909775
817,18.74320974819267
818,-24.27197979664244
819,19.2857761283329
820,-44.166026291405174
821,21.02805551206032
822,-50.48812221304848
823,-76.9632456837753
824,-26.864807633630036
825,60.31928207593711
826,-0.38166989178913013
827,-208.10919936010362
828,40.90139989067279
829,216.2453421575964
830,203.6597125565854
831,20.21951959906488
832,9.908537910573557
833,42.471131551284856
834,30.598828317987994
835,265.6105988864586
836,7.357980751710684
837,-180.15112394431574
838,295.46534045194636
839,17.4688827542181
840,46.53162534759929
841,-80.78943161186224
842,270.88756033571724
843,237.62215453810026
844,279.9018712040739
845,277.6165896703843
846,267.6184953773169
847,247.82338635797709
848,236.22697915190588
849,256.79556255590074
850,58.84913750426256
851,232.38895201786622
852,-12.647933792221096
853,247.05392898197823
854,264.887756646726
855,282.62188616827734
856,242.94423004284144
857,61.26744007764884
858,-36.79868395895638
859,248.84512384140947
860,278.222169479227
861,272.65217317014907
862,242.3110729440538
863,-28.43656086753502
864,271.39437727367135
865,310.50549435629546
866,236.41545402472167
867,285.9184735875544
868,239.02797973311726
869,242.37226534002306
870,-69.82963176554242
871,257.52400710521886
872,297.40714900863156
873,249.52140905724627
874,261.6968572267897
875,-77.36312654217377
876,253.1444219103452
877,254.8965862967106
878,261.13205299978733
879,-139.09367869447314
880,258.722545072991
881,-47.927074201781934
882,276.78771855231423
883,262.6686898812786
884,280.72919068869595
885,266.9058772686472
886,245.39209680502793
887,281.8752729664924
888,7.174235517063877
889,271.4759211955318
890,265.3991431027438
891,42.22361389153488
892,261.7816585939282
893,-175.28459056452022
894,150.92913489351795
895,237.43190097195395
896,275.8201413540712
897,-46.790589716258054
898,244.8770326948632
899,308.8998674467705
900,57.78265229102897
901,250.03800723834325
902,251.66530187950582
903,10.949491250575434
904,11.267828219067809
905,-207.44707720416187
906,240.89147111264742
907,10.68648436446091
908,284.005642215875
909,267.3549584181025
910,-36.45771064099977
911,239.10866870814667
912,198.3326137359685
913,272.8490042415422
914,263.4895066397388
915,243.5502043906226
916,231.65219341147042
917,176.65369157856793
918,14.736264690422303
919,252.01114718558932
920,264.45444343231406
921,189.4625051379814
922,-23.09908869502648
923,222.58776172598252
924,246.0634545390039
925,236.6181986225026
926,-50.19188645551435
927,311.6307170985449
928,268.27224563213304
929,244.96885605818935
930,8.85715498556658
931,228.58227004782458
932,59.45234403980318
933,274.41703274653844
934,288.9320630032557
935,242.51840455940845
